"","date","RUA.Adjusted"
"544",2022-02-28,2552.419921875
"545",2022-03-01,2512.32006835938
"546",2022-03-02,2560.02001953125
"547",2022-03-03,2541
"548",2022-03-04,2516.07006835938
"549",2022-03-07,2439.17993164062
"550",2022-03-08,2425.59008789062
"551",2022-03-09,2490.25
"552",2022-03-10,2479.64990234375
"553",2022-03-11,2445.11010742188
"554",2022-03-14,2422.01000976562
"555",2022-03-15,2472.1201171875
"556",2022-03-16,2532.64990234375
"557",2022-03-17,2566.4599609375
"558",2022-03-18,2598.19995117188
"559",2022-03-21,2593.89990234375
"560",2022-03-22,2624.6298828125
"561",2022-03-23,2590.89990234375
"562",2022-03-24,2626.90991210938
"563",2022-03-25,2637.3701171875
"564",2022-03-28,2655.48999023438
"565",2022-03-29,2694.0400390625
"566",2022-03-30,2672.43994140625
"567",2022-03-31,2631.72998046875
"568",2022-04-01,2643.19995117188
"569",2022-04-04,2663.92993164062
"570",2022-04-05,2625.72998046875
"571",2022-04-06,2597.3798828125
"572",2022-04-07,2605.669921875
"573",2022-04-08,2597.17993164062
"574",2022-04-11,2557.43994140625
"575",2022-04-12,2549.86010742188
"576",2022-04-13,2582.27001953125
"577",2022-04-14,2550.90991210938
"578",2022-04-18,2546.65991210938
"579",2022-04-19,2590.98999023438
"580",2022-04-20,2588.64990234375
"581",2022-04-21,2545.98999023438
"582",2022-04-22,2476.5
"583",2022-04-25,2492.330078125
"584",2022-04-26,2420.330078125
"585",2022-04-27,2423.65991210938
"586",2022-04-28,2482.03002929688
"587",2022-04-29,2393.6298828125
"588",2022-05-02,2409.35009765625
"589",2022-05-03,2420.6201171875
"590",2022-05-04,2491.44995117188
"591",2022-05-05,2399.5
"592",2022-05-06,2380.57006835938
"593",2022-05-09,2298.43994140625
"594",2022-05-10,2303.28002929688
"595",2022-05-11,2262.15991210938
"596",2022-05-12,2264.05004882812
"597",2022-05-13,2323.05004882812
"598",2022-05-16,2311.07006835938
"599",2022-05-17,2360.21997070312
"600",2022-05-18,2265.7099609375
"601",2022-05-19,2256.38989257812
"602",2022-05-20,2256.39990234375
"603",2022-05-23,2295.46997070312
"604",2022-05-24,2272.26000976562
"605",2022-05-25,2298.06005859375
"606",2022-05-26,2345.22998046875
"607",2022-05-27,2404.30004882812
"608",2022-05-31,2386.32006835938
"609",2022-06-01,2368.5
"610",2022-06-02,2415.68994140625
"611",2022-06-03,2377.330078125
"612",2022-06-06,2384.94995117188
"613",2022-06-07,2409.86010742188
"614",2022-06-08,2383.23999023438
"615",2022-06-09,2326.3798828125
"616",2022-06-10,2257.76000976562
"617",2022-06-13,2165.72998046875
"618",2022-06-14,2157.81005859375
"619",2022-06-15,2190.0400390625
"620",2022-06-16,2113.69995117188
"621",2022-06-17,2122.22998046875
"622",2022-06-21,2171.39990234375
"623",2022-06-22,2168.86010742188
"624",2022-06-23,2192.02001953125
"625",2022-06-24,2260.78002929688
"626",2022-06-27,2254.61010742188
"627",2022-06-28,2208.97998046875
"628",2022-06-29,2204.11010742188
"629",2022-06-30,2183.42993164062
"630",2022-07-01,2208.26000976562
"631",2022-07-05,2215.35009765625
"632",2022-07-06,2218.98999023438
"633",2022-07-07,2255.72998046875
"634",2022-07-08,2253.1298828125
"635",2022-07-11,2224.28002929688
"636",2022-07-12,2204.84008789062
"637",2022-07-13,2195.68994140625
"638",2022-07-14,2185.43994140625
"639",2022-07-15,2228.34008789062
"640",2022-07-18,2212.19995117188
"641",2022-07-19,2274.8701171875
"642",2022-07-20,2293.03002929688
"643",2022-07-21,2314.63989257812
"644",2022-07-22,2290.169921875
"645",2022-07-25,2293.51000976562
"646",2022-07-26,2265.9599609375
"647",2022-07-27,2325.26000976562
"648",2022-07-28,2354.28002929688
"649",2022-07-29,2386.01000976562
"650",2022-08-01,2380.52001953125
"651",2022-08-02,2367.4599609375
"652",2022-08-03,2405.44995117188
"653",2022-08-04,2403.57006835938
"654",2022-08-05,2403.2099609375
"655",2022-08-08,2404.01000976562
"656",2022-08-09,2389.4599609375
"657",2022-08-10,2444.82006835938
"658",2022-08-11,2443.080078125
"659",2022-08-12,2485.80004882812
"660",2022-08-15,2494.89990234375
"661",2022-08-16,2499.11010742188
"662",2022-08-17,2476.8798828125
"663",2022-08-18,2483.11010742188
"664",2022-08-19,2447.32006835938
"665",2022-08-22,2394.90991210938
"666",2022-08-23,2390.78002929688
"667",2022-08-24,2399.98999023438
"668",2022-08-25,2435.169921875
"669",2022-08-26,2353.5
"670",2022-08-29,2336.96997070312
"671",2022-08-30,2310.68994140625
"672",2022-08-31,2293.2099609375
"673",2022-09-01,2294.6298828125
"674",2022-09-02,2271.65991210938
"675",2022-09-06,2261.169921875
"676",2022-09-07,2304.26000976562
"677",2022-09-08,2321.40991210938
"678",2022-09-09,2359.5
"679",2022-09-12,2384.90991210938
"680",2022-09-13,2283.09008789062
"681",2022-09-14,2291.01000976562
"682",2022-09-15,2266.4599609375
"683",2022-09-16,2245.919921875
"684",2022-09-19,2261.71997070312
"685",2022-09-20,2234.46997070312
"686",2022-09-21,2196.8701171875
"687",2022-09-22,2172.7900390625
"688",2022-09-23,2133.669921875
"689",2022-09-26,2109.75
"690",2022-09-27,2107.4599609375
"691",2022-09-28,2152.44995117188
"692",2022-09-29,2106.34008789062
"693",2022-09-30,2077.61010742188
"694",2022-10-03,2131.6298828125
"695",2022-10-04,2200.89990234375
"696",2022-10-05,2195.419921875
"697",2022-10-06,2174.69995117188
"698",2022-10-07,2112.59008789062
"699",2022-10-10,2095.71997070312
"700",2022-10-11,2082.669921875
"701",2022-10-12,2076.34008789062
"702",2022-10-13,2127.60009765625
"703",2022-10-14,2076.07006835938
"704",2022-10-17,2133.14990234375
"705",2022-10-18,2158.48999023438
"706",2022-10-19,2139.78002929688
"707",2022-10-20,2122.52001953125
"708",2022-10-21,2171.38989257812
"709",2022-10-24,2194.27001953125
"710",2022-10-25,2234.36010742188
"711",2022-10-26,2220.06005859375
"712",2022-10-27,2208.84008789062
"713",2022-10-28,2260.9599609375
"714",2022-10-31,2245.81005859375
"715",2022-11-01,2238.86010742188
"716",2022-11-02,2179.9599609375
"717",2022-11-03,2158.27001953125
"718",2022-11-04,2184.80004882812
"719",2022-11-07,2204.56005859375
"720",2022-11-08,2216
"721",2022-11-09,2167.93994140625
